Zip code,Listing price,Sale price,Rent price/bedroom
60601,426300,,
60602,,,
60603,697500,688250,1599
60604,,,
60605,360214,365000,1588
60606,342400,290600,2076
60607,340000,415000,1571
60608,249900,235000,733
60609,127400,135000,647
60610,404700,520000,1650
60611,435000,430000,1725
60612,295940,337000,750
60613,280580,422000,987
60614,460000,732000,1150
60615,175000,337500,631
60616,300000,330000,1211
60617,85900,100000,400
60618,359000,475000,797
60619,94372,127000,430
60620,94950,127250,425
60621,49900,60000,366
60622,425000,535000,900
60623,75950,69950,450
60624,70750,80500,425
60625,276658,390000,750
60626,183233,251000,749
60628,67644,89000,390
60629,135000,135000,450
60630,279000,275000,625
60631,329900,317000,750
60632,144900,146500,550
60633,93810,87000,425
60634,249900,237500,637
60636,47536,33000,387
60637,115500,211500,433
60638,201596,190000,550
60639,185000,175000,575
60640,245000,377000,900
60641,268814,279000,700
60642,399900,450000,1200
60643,144090,180000,453
60644,93488,70000,450
60645,165000,300000,637
60646,410985,390500,665
60647,359000,486750,847
60649,87162,165000,475
60651,115500,104900,490
60652,144900,155000,500
60653,182250,242500,566
60654,390000,388000,2056
60655,199000,218500,575
60656,274900,272000,650
60657,385337,540000,1050
60659,250175,310000,625
60660,209000,304500,933
60661,349000,315000,1800
60666,,,
60707,223266,220000,700
60827,40000,39000,416